num_cols,num_iter,selector,n_neighbors,n_components,cost,ISE,IAE,dataset_name,T_past,T_fut,p,m,q_0,q_1,q_2,q_3,q_4,q_5,r_0,r_1,r_2,lambda_1,lambda_pi,x_ini,y_ini,theta_ini
150,1,l1,4,96,2.8660063792283337,0.0087371496418451,0.011617905794800753,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,l1,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,l1,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,l1,4,96,1.101291764660463,0.00436660211584827,0.006131860369760607,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,l1,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,l1,4,96,0.8846223450205446,0.0038687776460104902,0.00555480704802444,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,l1,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
5208,1,l1,4,96,inf,inf,inf,random_walk,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
150,1,l1,4,96,1.2842901662141517,0.005523661516503912,0.007948391588080236,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,l1,4,96,inf,inf,inf,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,l1,4,96,inf,inf,inf,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,l1,4,96,inf,inf,inf,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,l1,4,96,inf,inf,inf,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,l1,4,96,0.7559994708958104,0.0028411232411464362,0.00465770112955821,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,l1,4,96,inf,inf,inf,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
6649,1,l1,4,96,2.152545310243819,0.006639574092966873,0.008837947593719028,random_walk_plus_pid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
150,1,l1,4,96,0.8333856260833604,0.0036164512813307856,0.00561955726580458,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
200,1,l1,4,96,0.7572398992571661,0.0029744737802186475,0.004729096444522704,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
250,1,l1,4,96,0.7277615954413036,0.002667415912583117,0.004321891537102371,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
300,1,l1,4,96,0.7116842616209079,0.0026881767681140104,0.004355094310545517,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
500,1,l1,4,96,0.6985347459267516,0.0026639589890740624,0.004269352713584802,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
1000,1,l1,4,96,0.7133392493773676,0.002677183666854507,0.004254507806590418,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
2500,1,l1,4,96,0.8210062464536999,0.0038721833206254073,0.0057430350260761764,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
6203,1,l1,4,96,1.2693163024722207,0.005441936049348079,0.007503253225731259,iid,2,30,6,3,40,20,20,1,3000,300,10,10,10,8,5000,0.2,0.9,0.0
